region,origin_coord,destination_coord,datetime,datasource
tnmjvidvavflhbuzepgc,POINT (88.1233260287618 64.1177862535038),POINT (20.7458628980278 20.5580880401715),2023-01-19-17:49:54,gonsadcnzxxueogihwcv
hzkysofurvckkagwzacv,POINT (32.0078888272202 30.312970824149),POINT (30.09518010724 95.8969825770892),2023-01-19-17:49:54,iqkivizaagjthvraijux
zpjxzazsnmbjdnwchzrg,POINT (57.7768272077734 31.2814170874194),POINT (41.0080676481808 9.8635566323733),2023-01-19-17:49:54,jgwihucojsmicjxpfgyq
ifstrchypywbegtxckzq,POINT (73.2332371412745 96.2224901764692),POINT (75.6860033451291 65.7254768537682),2023-01-19-17:49:54,klocgonobghfspisykhj
avpronimvwfubzoiiedr,POINT (67.8494596859877 26.4565710735542),POINT (47.6164144783879 83.9404529860584),2023-01-19-17:49:54,cgjjgddbaexpurcakssa
xvackwcvmhaebmbsxhxa,POINT (65.0967858713173 93.835986652052),POINT (65.1400163476141 19.5515068228711),2023-01-19-17:49:54,dcoputjeyoadnkucpsmu
yhfmwcaviemcvwgrnhxj,POINT (72.7410041834891 86.4480493339079),POINT (23.918141919276 72.0871553712803),2023-01-19-17:49:54,kdebnhowjlootefdmieq
spdcqqnfbstupatdceye,POINT (55.0592395897877 9.2231390802317),POINT (16.6558935713502 79.9432833955031),2023-01-19-17:49:54,mrxdzoonxyjmcvbgfqpk
wtazzdliufxiodplavxi,POINT (86.6189181317165 54.9754832056347),POINT (68.7496205634311 35.3675504639039),2023-01-19-17:49:54,wypkklfuidmqaegbywxf
yeeibiusnieqfmmbnuur,POINT (71.7007466889249 18.5684748117837),POINT (82.9957341564806 36.0207980109001),2023-01-19-17:49:54,rsazjuuszcsduvcefyed
szytannjbhmbmijkzrpu,POINT (7.8956190294183 7.1361743375521),POINT (15.25941168469 76.6813133902829),2023-01-19-17:49:54,mvtxhkdlhholjmxifvnv
ecdgsubzjlnfqznsrkny,POINT (48.0990429977971 35.147306091179),POINT (94.307793001999 24.921555228748),2023-01-19-17:49:54,uuqjwgzqlmgefzvlfixm
fepzqytcbddjnviuqfte,POINT (67.0949162189634 12.5445047865664),POINT (76.5357663814209 31.5049673568938),2023-01-19-17:49:54,axdopigncfzggeyyafxe
nyouzfysmnfjihynakqn,POINT (46.121924324069 95.5046054939981),POINT (77.4423323346053 22.3475763167387),2023-01-19-17:49:54,jajppwbegspbsretdkdn
sqduplsdysnwilucqbfm,POINT (75.838662236967 14.1023197510965),POINT (97.0371496981414 15.5365845000462),2023-01-19-17:49:54,fiplaoajpolbrjarggwn
rhkwvuttyvtctapkcvvh,POINT (98.24828075369 97.0680193326165),POINT (17.9313035260071 34.3866132805154),2023-01-19-17:49:54,vdwxamrbjdgxspzddqeg
zfxabzruvlpezbztxtoi,POINT (83.6893457213014 43.4426753011367),POINT (68.5622781433346 60.6400436619634),2023-01-19-17:49:54,eclrdwbyzeoliwmtsrcy
vzeaqwctgqmhqwuxfnkz,POINT (10.3528571777915 24.4144752296987),POINT (70.6946224698408 35.7371700043914),2023-01-19-17:49:54,aihzticggjiuzazixqrt
cvkagglgrlgckcfdlnvx,POINT (9.8452181980076 68.911298308605),POINT (72.6765052528272 60.5451663187845),2023-01-19-17:49:54,dcyygalmiuphfdddrreg
hvuequfdgbsokvvdsqyy,POINT (83.7634965026709 7.8297247068301),POINT (3.3801449079435 59.3062701513041),2023-01-19-17:49:54,ndmpsletogzenuskxfsh
vtqrdntvchargivtcrdh,POINT (47.7291943173897 4.6445988983847),POINT (58.1124098134842 66.196717436292),2023-01-19-17:49:54,dozlhytlsajlsnloyxlf
usmrprlmrondvphhwtcd,POINT (42.5106501600493 88.2666970150313),POINT (88.0667734893653 16.7630893749159),2023-01-19-17:49:54,ezhprishegycshvrduhj
zwggzwbofvtvhsckzbjl,POINT (22.0889067211545 25.9610438214363),POINT (1.4942151661093 32.5788480447984),2023-01-19-17:49:54,pjavwfbbxiebidczrlxd
gadyhfozojckhekbljmn,POINT (89.9425343927354 37.8473832652387),POINT (78.3811258529787 38.9599660505736),2023-01-19-17:49:54,simnrwfbjeemccyrsotx
xsmdsrxgiefitepfhbmj,POINT (67.5641774860552 57.71138657793),POINT (73.2611824966413 28.4257777890928),2023-01-19-17:49:54,esqtaeturnklcexuoqaf
iynmxsglyhgiqapdjxia,POINT (46.1122612629223 12.5586910311615),POINT (85.8095586809511 1.0334099008017),2023-01-19-17:49:54,gtxojkoaenhpigufsrwo
qiimgfcnxglxurcxtrzu,POINT (84.5297367912278 48.6533322108723),POINT (60.1380192445644 14.6198483135009),2023-01-19-17:49:54,evxzfnvjvliziutodjul
xrtsxtgvleeupqlsubro,POINT (19.8067524936702 25.812475204273),POINT (82.1614486904076 57.7492523812012),2023-01-19-17:49:54,ncdolevhaarnpcsirvcz
fvtayajhecpsxdoqmvgm,POINT (97.6771754444665 54.0226478229009),POINT (8.0552306889467 92.9438080833183),2023-01-19-17:49:54,onopmmcinphbecsrfpir
hisklkmhkqwuufcllnhe,POINT (74.0218747582063 47.1132729049513),POINT (96.7337860794159 83.4759025344477),2023-01-19-17:49:54,hrkelcupjczeqmnolhwr
hckiuoqykccvxwwaxhbs,POINT (10.3270099538432 93.006458479948),POINT (48.6576203282835 1.3528102693259),2023-01-19-17:49:54,okozetgsblxrtnochlrl
tmqvymtpurgquusuicwu,POINT (82.3121698261258 18.5274419595336),POINT (56.7375199636445 71.1814604302007),2023-01-19-17:49:54,wgjlbkyjjxvygzramdci
ylsndpmubkatnswbmsil,POINT (71.2843977211479 37.1895804858574),POINT (40.2529695728658 28.5865636577994),2023-01-19-17:49:54,rqykvxcrboquqwmqcxyx
yfksnztndfkexyenyqcc,POINT (21.267338972682 32.9097644569525),POINT (91.052759870321 93.2041796157615),2023-01-19-17:49:54,vvpfwwygcbplrxwdremk
tezjpwmypmhjgecsegkd,POINT (3.6759989858619 66.8272643741751),POINT (58.9323206051523 47.7021456473261),2023-01-19-17:49:54,rkaxudgokjuvztzdncme
qjhuybbloiqnovwnudqk,POINT (19.7499922237998 5.7770476888904),POINT (17.4798611524649 76.1556183167758),2023-01-19-17:49:54,isojovzvygubyqwnplyu
atqjppyjehnquaxnwdjk,POINT (49.0714294679399 11.5550033312645),POINT (35.7667605359703 50.5614476573044),2023-01-19-17:49:54,rnlcuzruwipykkqbkuyi
njkrbltcidfynpxqgeqv,POINT (97.8621380793643 7.8600102592763),POINT (14.1663448768004 79.3107753062004),2023-01-19-17:49:54,tstmitcoaiyyknrztexh
kvobqolacrmuysyesklg,POINT (57.5052324003496 83.7837773867107),POINT (79.0805206552325 22.5120545320266),2023-01-19-17:49:54,jeotlexznmgnhrqdcbml
ltsaswdnajqsygvipxfw,POINT (22.9742286844675 34.4533423331326),POINT (60.646731678811 62.1557645782273),2023-01-19-17:49:54,fmdxyytpekzpmbnquzyt
egjwtmuvriblwddbvaha,POINT (25.7825679514325 50.9122152766985),POINT (57.9430683550197 20.7899811132949),2023-01-19-17:49:54,qtwxdexronfmcgkciaut
cgaeaaugfurqxepqzwyn,POINT (37.9563657506269 92.1584445594312),POINT (17.5430223711973 12.2702168103794),2023-01-19-17:49:54,vibwrilrihbzvxhpyumq
gtszmxdizjqogsdloqxr,POINT (20.0930095883243 48.5270191476191),POINT (25.2736263453436 19.5185327842108),2023-01-19-17:49:54,bnnfjojtwaamhotebfeb
byaoyjibixcivbnxxgwa,POINT (53.9314815342744 76.2570021297135),POINT (87.2968211062635 81.7096669347858),2023-01-19-17:49:54,favehaqyeftjvmcwabyy
kpqoenxsatlgivhncnej,POINT (34.4372666006682 66.0717679835765),POINT (83.8028809296852 1.0489300708051),2023-01-19-17:49:54,ntydocblfsfubldoirwa
vkwgjrmlaobrepuqgdpg,POINT (26.5536097368702 60.9637838219727),POINT (25.2065543480918 88.2055392564055),2023-01-19-17:49:54,mltwlvjdmnkulhfrhefk
jddzcvgpahvvpcxvonls,POINT (9.035878507157 6.6952731669373),POINT (16.6645595506822 56.589865696744),2023-01-19-17:49:54,fqlnfubrdatzexgrvhyf
guzrbewrwzixlrzkzhnh,POINT (43.2863880709193 21.6088051054263),POINT (4.2104013213645 20.9260508686577),2023-01-19-17:49:54,jmiukrjmiclgsssiyawn
kxvhgunamusyqjpllmyn,POINT (82.3581134660458 32.5718880638037),POINT (24.8421765791435 93.1688414124533),2023-01-19-17:49:54,turnwupogesxqxzirbnu
bpaqoqotydkiraunqsoc,POINT (73.9947832391994 13.8101877507006),POINT (91.5119014717876 39.1229242522926),2023-01-19-17:49:54,lrkmsijrabvtujldrcky
dznbyarybxtimcjidukt,POINT (51.5047702009655 46.2931745428841),POINT (15.9580126090895 24.6348743302845),2023-01-19-17:49:54,rcnbkycplmsaljtptjpv
sjdexdvixxnmwhajkcdk,POINT (66.3849541945824 86.1126883715306),POINT (85.7035636460823 15.2766027531681),2023-01-19-17:49:54,izubvizfvwkmndrnrtli
pcitllvetpszyybvooru,POINT (52.1310301864291 67.3040407173405),POINT (82.3770892535602 96.6950713368836),2023-01-19-17:49:54,wjjnmgwksxrvojjgfkrs
ixonjivhuskjigomxbje,POINT (84.6532191140989 54.7467247715616),POINT (70.3223082508023 53.0673797488707),2023-01-19-17:49:54,lqzribucmmzimepnxmgg
zxazcrjqljxhojjwgdtl,POINT (53.032190353566 87.5946659914502),POINT (33.2293865124748 33.0632989282162),2023-01-19-17:49:54,rigfqtyqkqlrsbvmeyxb
xfbouuketlnkoddyibwc,POINT (42.6019733864124 80.4840847181624),POINT (94.8483455991555 66.4532893741723),2023-01-19-17:49:54,vjtywcpxhvetykwwbymv
zodvvqktvlbxfuehepzz,POINT (89.7159967367731 75.2027612664722),POINT (49.4361188134657 28.4393757507488),2023-01-19-17:49:54,gkgpksynejvkhstqetdy
qzgavvcbkwqmkwhezrsl,POINT (41.4763917162871 89.5752261266297),POINT (11.8356229403958 34.6729208450091),2023-01-19-17:49:54,rubqodkmebbdgrfgzxed
prqvfgvwbozysbxdxzrd,POINT (96.9029004835324 9.2114937284611),POINT (33.0728845034963 18.601432567989),2023-01-19-17:49:54,qciejtxyltqchrjzhmwr
avjriyyyuuyopbjmxgdw,POINT (94.4860632075773 26.5455562235079),POINT (87.6859825269435 10.8522399920053),2023-01-19-17:49:54,yxoffhvvyvzfcubnttkr
vcspswjukfiotftwvuge,POINT (14.9990268672959 92.672249266117),POINT (1.4188813184333 76.1557768665192),2023-01-19-17:49:54,ymemmxkfxeojgqjqjcvk
ljwfarvucliuncuieswt,POINT (90.0071935801427 55.6525077091293),POINT (87.2097536587376 65.7738541124151),2023-01-19-17:49:54,lyczolzpvlhswlpkkzpe
nzkovyviaujynkhanhsl,POINT (8.3050898965214 97.2195532930363),POINT (6.9324385514965 7.1239377852547),2023-01-19-17:49:54,hvenmmtsiedoiqdbbouz
bfxghpohvdzhmsykxgsv,POINT (76.4923288800075 44.855302240904),POINT (35.488137409488 49.0083779402518),2023-01-19-17:49:54,hmggkaknulgrdohmoubw
jgzjzffuhmziwueajkcr,POINT (13.7016758887061 19.6079491332363),POINT (90.7471569696479 38.1927684639915),2023-01-19-17:49:54,rngyjjzrnayeivjtswuu
jjppkgoorqhswyuszrhi,POINT (33.1489624925245 86.6445620446751),POINT (31.8572935038274 12.0110078957246),2023-01-19-17:49:54,aixsheeexvuyrlmxzgry
opsbcgvhsyunznmyuuma,POINT (38.6320331662186 59.7408276974086),POINT (46.938865668776 57.7243238792686),2023-01-19-17:49:54,kknrnkqcmkitqeknhgqt
hemlpshrbwujdebejazo,POINT (32.7045902205488 98.031723376845),POINT (20.3452554388646 52.5545270344026),2023-01-19-17:49:54,qosdkukjbbnsdseptsad
fnonwymefcysnizceern,POINT (4.0190596441344 87.8792823941958),POINT (2.5429504723518 66.8788759003601),2023-01-19-17:49:54,irmskobquaaaqqakuccy
qsormrpmgfojfivlesdk,POINT (71.3139449130487 79.785645199427),POINT (86.1647694440634 19.2814448919967),2023-01-19-17:49:54,ufhsulphuatakcqxgvbi
oltungilrxkrayavzzgt,POINT (25.6161678080493 41.853805139325),POINT (37.309749825341 9.8169397636063),2023-01-19-17:49:54,lldoszpsmidhcgmpomcf
jxfuajxsblgzkedjbcqj,POINT (61.4143685224757 60.7212599056452),POINT (34.0431078806845 40.8330161300103),2023-01-19-17:49:54,vngcuybppiplrvjvcyja
lpztbgbcpvudwypawfzz,POINT (26.5133199867604 16.5988941433463),POINT (65.3704235106235 73.7757454336899),2023-01-19-17:49:54,dmipqolxcfwslmwfjhmi
wegnksdhllmuyyjskxlt,POINT (73.0428722554394 93.5243902533112),POINT (73.6411847183646 37.9062409339171),2023-01-19-17:49:54,glgjymssqtrgqnzbynyu
txfvopmtvlolysteiyih,POINT (28.9960657286824 34.3771203580352),POINT (5.8297059683428 12.5203163101404),2023-01-19-17:49:54,xpvtlljmbnjjxkfyhzka
jurwmazuqivqghgfxacu,POINT (1.5973672622494 37.8194421913933),POINT (88.963160571677 35.1558555306944),2023-01-19-17:49:54,eymbkdvodvkkviycwgqw
arqreyjwryxjzpfqpuuo,POINT (4.0953369293118 64.9236096476675),POINT (89.7399797536547 86.7379443847488),2023-01-19-17:49:54,racgclntwbazdwpfaxaq
xvesrvhylcxnhftgfwzq,POINT (59.1566077798155 18.8383364583582),POINT (39.9666665453323 85.0653644050024),2023-01-19-17:49:54,uvmbjxqtplgsdarkbtgc
vqyzuyximmseqwjqarjq,POINT (42.6922309726917 12.2605112082838),POINT (59.4416480472187 91.1979835124679),2023-01-19-17:49:54,lktcfnqnuuakcgujisjm
peekfojvtgzahurfailj,POINT (47.3398893366067 51.9463931846206),POINT (98.2806038968564 93.6274724995112),2023-01-19-17:49:54,rgcezfpjuyialhneaafm
vqwwtxteljmezrcskxjn,POINT (5.4505093549796 90.4757466911522),POINT (78.3386891139264 43.9812578080623),2023-01-19-17:49:54,oucoppkbsuyeantxohpk
fobcxrigfueqgwxtqhtg,POINT (27.4266319105374 67.9655258391041),POINT (69.1678798495656 39.4163953132156),2023-01-19-17:49:54,vypbhlqhesqsdpeobcli
qdkzgmeoesazfcpnmhbb,POINT (26.2107973264737 79.4388672301382),POINT (15.315573228051 25.8188445317766),2023-01-19-17:49:54,omrxaxvjkkpkdjpaheaz
ouodmmefvcisghboctgp,POINT (61.4442357366211 69.4233680406743),POINT (89.3904004275313 34.032364487641),2023-01-19-17:49:54,kfmfsgupdjqvgkfaacbj
flbztgwtdbawlotydbmq,POINT (68.7110989216065 81.2987157528618),POINT (29.984879686881 17.392753684064),2023-01-19-17:49:54,paewvzokpicqocqbdnhr
klmvtllrabgzohsqznin,POINT (11.7175554600422 42.2944780340925),POINT (70.3913260924529 58.3632690130707),2023-01-19-17:49:54,qxnyvgjjkbjiysybvyil
lzbbwuqrmgvfzolgyekr,POINT (11.1214050847743 37.1310635075037),POINT (3.0303487612877 49.0227537783009),2023-01-19-17:49:54,knwfwnxbkdelpopdhlem
rxtbmaltgjtqlzkojvpc,POINT (14.296284655268 91.5155043344019),POINT (70.0422693186125 96.4680037578543),2023-01-19-17:49:54,jkqrdktdocajbdgdbmfk
sgkdwywhslldzckbkzkp,POINT (95.6643759172674 60.1068708036444),POINT (82.0889196874627 87.4903540707996),2023-01-19-17:49:54,jydcxlkbwgylfcevhfak
ksbhbsgqdnakszabourf,POINT (17.1370074000242 21.0824825380209),POINT (37.9771023784809 96.9632741786621),2023-01-19-17:49:54,pyuxtxnsdnpkzjbileyx
xfnyyjdqqcuittbhwagd,POINT (92.7157957129108 95.893932073825),POINT (48.9227165396984 12.4099397660948),2023-01-19-17:49:54,jagpuwlrnqhmjqwsriom
kglhwbcktdplootnsxiy,POINT (42.343767116617 63.4082440780998),POINT (4.5762548603407 94.6276326097482),2023-01-19-17:49:54,mjhxmuqzlaoknielfcnt
zexngqwohudtuqjfftll,POINT (7.2748891897614 9.3714770571276),POINT (69.7532247216762 23.1082015595738),2023-01-19-17:49:54,znaaipcwwvnnyrnrglsz
itzbchvycownbmbzghes,POINT (50.2622994065169 19.8654974027403),POINT (15.1269359447057 78.6482409495236),2023-01-19-17:49:54,jdntycpgfdmupcvgdzev
ndrgrthgpxyavuugxiyw,POINT (12.7239047068156 35.723810645002),POINT (44.5497646586417 68.5246914809762),2023-01-19-17:49:54,ytkjkgrvmarauxectbru
unsdluuxtcodpbslmwjh,POINT (98.4327735622142 91.7569135990085),POINT (18.0079477858105 27.8520259921116),2023-01-19-17:49:54,gccugpgkhqoerlzbfxan
yewgplnxsppizyzcqmwb,POINT (19.9908378281876 81.3390126052896),POINT (45.6175909145911 67.8986825262316),2023-01-19-17:49:54,mxjeztkjlysqkeaxzfzv
reuxuiqoyeavngmpfzpy,POINT (77.27390972291 84.8893555679314),POINT (75.8237689724719 91.7024388712543),2023-01-19-17:49:54,kqmicwarlcaizrpyumse
waucqywefjzpjqzbxsyr,POINT (57.452750206157 42.4983386023175),POINT (28.7191021209656 94.3644724826109),2023-01-19-17:49:54,bthxgobqrmxwpmtmhsxy
yibqbxbbzqqqzwdwhnwh,POINT (80.3965406499272 73.0660125293143),POINT (38.5777477640883 9.0220306297757),2023-01-19-17:49:54,ogsiktxkxwvpgoukrrbo
pcxgcmqmevtedbhrgoep,POINT (75.7256029297024 8.6601966673768),POINT (61.1978684976548 4.7973079365347),2023-01-19-17:49:54,oximotyheqhrtvvymmir
leleldlycsxvrsinfngu,POINT (27.6764301604638 81.0499375473351),POINT (62.4051232147299 24.7049589287685),2023-01-19-17:49:54,jonhdfmvuvtxkzbjicpl
kgazxgvzvikdwvaratkx,POINT (91.627603894714 39.8488996047296),POINT (81.6497671439359 15.8572000504959),2023-01-19-17:49:54,klwjahhznkpingilygyq
khlutsypfnfhdstaozpi,POINT (70.1258833463825 83.6677847605935),POINT (98.2435087793558 85.7334113649238),2023-01-19-17:49:54,jtekzsqcfuvmqccbrvzj
teloylxqsmsdkcydonmt,POINT (49.7355891143855 22.0636491943958),POINT (48.4200086145401 60.803561635474),2023-01-19-17:49:54,ieizuopjqiqhjqzmrdym
mkkzjlhiwoyqpujioqeg,POINT (96.7842466075983 95.3090113919593),POINT (34.381143222799 29.6183985068569),2023-01-19-17:49:54,tdgryjjlevxbhxwnfvdr
mozkgxjrbxxlupzppulw,POINT (98.6123574249804 4.2692596534552),POINT (10.0638134651169 91.3746748074732),2023-01-19-17:49:54,kzmdtxowjduodqvvaphh
fyqzevzvdfivuyccrqzg,POINT (52.5788431523471 27.6989054178734),POINT (54.0505801850927 52.2110506188275),2023-01-19-17:49:54,zvrbkyapvthgodrkxwpk
nfmtaurqebavsxukjmqy,POINT (5.8628204094561 98.8585282659162),POINT (13.2781885852532 29.2189841644578),2023-01-19-17:49:54,wzyeepccvuwrowzbmuuy
cqcgvpkipmmefmtchjgk,POINT (62.8262873422285 3.404449134951),POINT (86.6031885581075 47.4838146598404),2023-01-19-17:49:54,gsnsnnusmjfeecwsegnp
mbbaiimdklnfgwjchjkx,POINT (81.0729099788133 35.4730605771859),POINT (52.1839282592133 73.3703113476501),2023-01-19-17:49:54,esybmyrzuefwsfaoplam
daquyqnfpjgcimbufmng,POINT (66.29153909375 83.7531686307147),POINT (94.4537353486088 38.198389307506),2023-01-19-17:49:54,ktcewopsscicayccptzw
prtpyyakkasoftbhfycs,POINT (29.5779505670151 22.1980941406253),POINT (22.5467299361821 52.3559848454827),2023-01-19-17:49:54,nlztqkrljhruxtizffdx
ppnlwlzboeaslyjomiyu,POINT (83.7541572992689 66.2142365534375),POINT (43.4490958435595 16.4594380412051),2023-01-19-17:49:54,ujpsaugyoxkqekucdqza
yknsznjckrglparjxbgx,POINT (8.3784893901035 61.591405083649),POINT (44.249413959802 38.0207968098416),2023-01-19-17:49:54,qlekjancdwdknckyimym
bhtboitwgozfrdrychnd,POINT (93.1864032114893 84.3567351538945),POINT (25.3592249722145 43.7619319757272),2023-01-19-17:49:54,gatcuccmsttanwsgqift
gjnjxqnqxkbduahcewgy,POINT (46.3956500211642 84.6702395860085),POINT (12.2521303667476 44.5305678703848),2023-01-19-17:49:54,zdldpjphyvthuawfpfei
osbvfbtpsinyjvvvhngh,POINT (50.4874017337399 42.6461348017605),POINT (75.1822696620899 82.3732791729766),2023-01-19-17:49:54,yawcswdmygiektrgjjhq
vejsmvuwacbtdihorzzs,POINT (51.5955450270919 77.5621378603971),POINT (37.1513462634988 54.3345518605515),2023-01-19-17:49:54,vrbyhvtdwplzvtzekmqu
ettlgwfdllgdzqnkhlnt,POINT (48.7077920731332 75.0267068338713),POINT (91.447556833518 22.0211207425717),2023-01-19-17:49:54,ebwiztpsumkaqeibbwqn
negmkbuwrprazuvavxjv,POINT (42.2706088291456 24.1654578563047),POINT (35.0538133439293 20.9820941331932),2023-01-19-17:49:54,nqgdejzpkkpzspupztwl
wzldvyiupyyojzqlkmjj,POINT (80.5781645636194 92.7367353930011),POINT (8.7474666780534 59.2752437073509),2023-01-19-17:49:54,uzbdestswdydormrkznd
fullgludacyrlboowebw,POINT (2.4341986937623 7.7457236119542),POINT (54.8040182133937 55.3812883883644),2023-01-19-17:49:54,bwnpvrfzrfpsfigvisxs
tceaeeeetfdxviwpfbgc,POINT (24.0872159005109 95.3087503358121),POINT (39.8705209913131 6.504453085592),2023-01-19-17:49:54,sbfwvxvfizohambrizhk
njortcyryrjynyorsjjy,POINT (61.2714525909869 66.7665843099811),POINT (81.0472107760483 31.8032307698409),2023-01-19-17:49:54,goenpsaoubfzfistemic
wbyokbzgvkmzphzkcvzd,POINT (46.6919885761205 52.9729709350993),POINT (20.4696993473689 73.410604842922),2023-01-19-17:49:54,gfqerbouepzzuluesmns
nupmlvwmzjhapoiyghrk,POINT (98.7364383196881 96.9604226604148),POINT (33.6054804091667 28.2382886322614),2023-01-19-17:49:54,ovhpmlsuobljmeyggkaa
qcxagbksqtkwuoiqxveh,POINT (57.666040911845 93.9961320390641),POINT (58.9720627759858 63.8385020412622),2023-01-19-17:49:54,uqwooutjlajroisstmts
alvkivcgnawsmrbghkoi,POINT (27.6627351951585 90.1447687784481),POINT (9.4978302658983 61.5817333938532),2023-01-19-17:49:54,zqvcpfiosvfnkanhhadw
anewjwgxqplwebodydya,POINT (61.2669409176722 9.4244165972341),POINT (2.4090302895503 18.5367401354839),2023-01-19-17:49:54,ketiolkllvzcjlgigrzi
gabbjknnpnhplvgqauth,POINT (43.6817014204873 45.6305248097582),POINT (38.1160476791403 17.8300677217423),2023-01-19-17:49:54,wzvxvgjwegwokopscprw
djtzmeqtndnjqtitmjvx,POINT (91.9254665211493 12.2416563107733),POINT (2.2704409449478 65.522532798421),2023-01-19-17:49:54,jifrsizztcjwakwpfwfs
yelraxoeftklbpvzrxlr,POINT (54.3399540042038 1.7575366142837),POINT (33.9206731227218 45.5942853438284),2023-01-19-17:49:54,bduruxnpxhhydgepeguj
qetziuokbsrttmwiaepw,POINT (26.7112581161956 57.9789875624494),POINT (5.6405515654334 49.1749694709938),2023-01-19-17:49:54,bxafrnntygvdtwtgxamm
zgihfnpusncmyfppfnxf,POINT (87.7269064987134 91.5305969254192),POINT (91.2362094740377 86.4328690505902),2023-01-19-17:49:54,eavrapfgjhiykwfjdumc
zwkjztoojoqbuadfefkn,POINT (44.7373684093459 16.3805768819776),POINT (13.8485629449253 85.8562629222374),2023-01-19-17:49:54,sxmaauvzknvdadtreqbd
gqvmiprylrzcuyhvanov,POINT (28.5012436983895 69.1448775790174),POINT (94.5011049306323 33.9927740992462),2023-01-19-17:49:54,ylgweugtcsvkmjqduvwu
tmqbbykwbikgtrhlfbrs,POINT (83.5424633941101 64.4782408112437),POINT (38.9920056432136 72.5701634875421),2023-01-19-17:49:54,urglqobjiokvztxgmtyj
jehbmwjyjmdfjjuyyjxc,POINT (11.3930681733252 49.9102743390428),POINT (84.2719191062696 95.005392424139),2023-01-19-17:49:54,ozouosqvzmuyjjotqomf
kkcwqaesfweyvpvysxhu,POINT (83.1096409427029 86.3316860702723),POINT (36.0170804163015 46.7524531639702),2023-01-19-17:49:54,ktdzjrqlvuvivoinovjt
cmazeuhisrocoqfnlcfk,POINT (38.678155008856 48.4715576604376),POINT (74.3017097128907 71.9870442715237),2023-01-19-17:49:54,hzqaqzyxhohpxdjzxtzk
