region,origin_coord,destination_coord,datetime,datasource
ltqmarilowlbbyuqfepy,POINT (95.6970454883437 86.2354696746607),POINT (68.7607145557205 3.4370149879985),2023-01-19-17:50:05,uwswsdgnmnvorqqvqask
ucfexegcucgjwinbxaoz,POINT (95.0421504818445 84.5060691276361),POINT (4.891191362211 42.9054341248108),2023-01-19-17:50:05,boconpwxtcngibgmwihw
badhyzgglgfehwnuiabk,POINT (27.9285585954469 13.6677153924483),POINT (81.6243822909381 58.150428207291),2023-01-19-17:50:05,ohgdqitjsuotkdofasmi
mklwxgxjbruhcnmkxsrr,POINT (56.3650214364358 66.7134007356914),POINT (44.2691067567338 73.7553236723916),2023-01-19-17:50:05,zxkksomxouinpkrodszv
xxyxitrrkbrkthgmlkns,POINT (83.5398478596067 25.067263511935),POINT (12.4697842249861 5.2933110375616),2023-01-19-17:50:05,xjwtdaprlrkqwflaexcp
ysbcgalpyvxwxwtybsvb,POINT (14.5810987085514 66.7372598249092),POINT (82.8232881345039 42.1405907988299),2023-01-19-17:50:05,nqzpzyyfzqbgpohqdymq
ekioismthfsivrwjivwc,POINT (16.3049442636577 20.5353790080394),POINT (20.7272915698223 53.6237350837408),2023-01-19-17:50:05,vcxdzojnqvstkaxfvflg
joktxdpusyrjvnubhbps,POINT (98.9154662395029 58.0638591666706),POINT (6.5639650241278 66.251047113816),2023-01-19-17:50:05,tzwcamidifwlaqtheqib
nqhnfemjobreygbstlsu,POINT (31.0584610424334 97.2303492639985),POINT (74.7239422760479 53.1419387042423),2023-01-19-17:50:05,bvmybkcxyvchykilskax
aokoaqxilfkdgbnbgiqw,POINT (51.3913210442796 65.9151674558554),POINT (83.8462709822701 16.2947654004394),2023-01-19-17:50:05,zbkattgtozsexnlxsrlh
buodnptsvmaqxwtdyjgl,POINT (82.5046771002828 69.9994320363633),POINT (8.4682163308199 73.5807857323565),2023-01-19-17:50:05,fazxtcwsuaktldhblgof
ceejdcspitatnmuekgqc,POINT (13.9236789536545 44.2310331924691),POINT (19.5070612279953 14.8049373879094),2023-01-19-17:50:05,ickasncphrxtnmpncpuy
uswmpsgboahsdtuododx,POINT (30.7815631604409 56.8814401658251),POINT (74.9384775935611 4.8346863017066),2023-01-19-17:50:05,ptjchdljukkdhfpcdtat
tejeqhmlpcaamwtuszrs,POINT (41.7236074032354 52.028399683592),POINT (91.4009365689467 63.9864089948894),2023-01-19-17:50:05,iobgfiwueckxthlmdmdm
mckoxvvgbzdppqjfcysg,POINT (10.7388889152769 97.0942214544236),POINT (81.4819787015275 36.0201003907222),2023-01-19-17:50:05,iplhppzcjsnrkrccagew
owukajnfyctyzfprsvvz,POINT (31.1738300399337 90.3105425646925),POINT (52.8180342787886 16.8890100846341),2023-01-19-17:50:05,aepgsthupvlojwnppbwh
echvozesieaknvhrmxrp,POINT (51.4934950665256 32.7797784168203),POINT (30.2891563655684 84.3489986947991),2023-01-19-17:50:05,knpdnwmoypgabdjlzpjn
rjinwedcoqyfopkubdyz,POINT (87.2789447583745 39.8971762535507),POINT (25.4746190255682 85.3370402988998),2023-01-19-17:50:05,xnjiravqlmnwjuonnmcg
epijzzyanoosqvrmpzse,POINT (45.998350014661 62.9041550185286),POINT (17.7272813125085 55.7970010444795),2023-01-19-17:50:05,kxiksvosbmfcrllaubsx
mytkexidatqacouqyqdv,POINT (65.1799342628757 4.4350939017249),POINT (38.5534399098076 88.7608980097595),2023-01-19-17:50:05,ucflifetppbaiymuxize
sdoioajeeazsppfzfoln,POINT (80.4227953810344 8.8608524590962),POINT (36.8830370364471 94.9398709054928),2023-01-19-17:50:05,svuplfbktivmkmaxxjpr
gaknsdvpochxuqnrforh,POINT (65.6101082438414 22.0102803395048),POINT (18.417107272646 12.4315004584423),2023-01-19-17:50:05,aalikbnlaxrbtdzszpzt
yfbxwfsldvfoffzpfepy,POINT (80.2188754042929 11.6038614893431),POINT (48.992512288035 21.5367153386795),2023-01-19-17:50:05,rdnrzicoipgkmifxhgac
kbmvbfrordnsribtykaj,POINT (42.9639812920733 24.5325191082343),POINT (49.2711929318733 49.7049298955425),2023-01-19-17:50:05,gnrwlkvxrpmmvimscccx
qowtsgqydaizhuhktjaj,POINT (7.9256494913563 54.8409847011956),POINT (8.4868740397546 66.0945662895403),2023-01-19-17:50:05,yjilldnzqvqrmnftsast
snshcngxuvngoshrhhsj,POINT (40.2806758318557 91.6849940462594),POINT (68.2253468834163 66.6474777790031),2023-01-19-17:50:05,iwjadcgbwlxpyuumuacl
jvuneinrvocxdtikrgla,POINT (70.1160123229143 89.7856708817376),POINT (86.773296583899 2.6692017338299),2023-01-19-17:50:05,oexdjdcmkaxwbzntphvh
bxijlkedtbjxsouuries,POINT (6.2833210287625 18.9515212581355),POINT (45.7902715529785 40.2064768799453),2023-01-19-17:50:05,kmukbwfpjzjekildksee
gskiiotymliivawuvipo,POINT (29.3641273673556 67.8202756761174),POINT (9.3154777627131 41.5712237139785),2023-01-19-17:50:05,zggfelycouljtypmvhzd
fpzwgvgmrpvlrwnrdlnh,POINT (82.5245742902367 92.0504629696201),POINT (11.5170431931611 34.5693655173328),2023-01-19-17:50:05,buimrjmpthzywzuqxnxx
khzkpwwapucrmamkrlvg,POINT (83.2536166808353 72.6709200536915),POINT (91.9675576254713 70.8546355259856),2023-01-19-17:50:05,vrrhhudirqvjbxkxyuwj
tailmgjqnfjtexkbdubw,POINT (78.5888336204432 33.3809127630316),POINT (97.188305027391 70.8886272175402),2023-01-19-17:50:05,vgxusjfssrjyxtvehmdh
qcboyliqrsmtcahtzqed,POINT (1.052420170415 9.7751145585422),POINT (92.5240034445568 30.881042584419),2023-01-19-17:50:05,gqfhmuahmxmyhfllfsov
lhjymcghyalrphfcnrsa,POINT (37.3663247651232 39.7667730818812),POINT (29.3374015523379 8.4703765007256),2023-01-19-17:50:05,svzynphbyyfvcjuxwzpm
zssltlxayrtbyaqhvrfj,POINT (61.5448282536045 85.8601287998871),POINT (73.7745690631675 82.331373407712),2023-01-19-17:50:05,avqipprfmcxzpbiocpnt
cfgsnxamcuerhqrjyfdp,POINT (22.2244564662105 52.4034815129358),POINT (90.3085607442218 1.6026514289292),2023-01-19-17:50:05,tnjalsrnfoazdlpbeqvx
nmccagxlmngkdjctrcpk,POINT (42.4718142119863 69.9602126919167),POINT (85.5126812425973 39.1117330589071),2023-01-19-17:50:05,wiimuigbpavvgnkriyia
qlocfacjtgcdugbvkosb,POINT (4.9866132933822 11.3678172510816),POINT (93.3713881353887 25.326517268538),2023-01-19-17:50:05,ffyfyhqdswolkrsvbaey
pwqojpsppvfmxykpyzgc,POINT (53.115147209856 77.4037116521799),POINT (75.3202171808177 70.5844338851533),2023-01-19-17:50:05,bpvqugripogiqhqjmitp
ymekppznndfaspgglkel,POINT (6.6571437410691 56.5258757239932),POINT (46.4920020311453 59.3547634442334),2023-01-19-17:50:05,hevlykihkxwyaggdyfwq
kfklvcllrabtoncsquuz,POINT (38.4580467795172 43.7978740747381),POINT (47.6964036836774 43.5791439982917),2023-01-19-17:50:05,fjnvevurilzrqjgtwkvw
wthbqbklxrnwwyvhymmw,POINT (7.6058537219477 29.4551285808148),POINT (40.4520763459536 60.5003746403406),2023-01-19-17:50:05,bksankgkombamhikighd
xhuwctdanpoupcqyastv,POINT (89.6678682526432 50.1233900858386),POINT (7.9315513706369 15.5913852425583),2023-01-19-17:50:05,wktppitczrgtravzwcal
nsqakqtnjywxnwebukkk,POINT (90.5989924731107 17.4819564300509),POINT (5.8731547624374 95.6122305086054),2023-01-19-17:50:05,zxzsvcgsgfwxjtnunldq
wosohiyaoqackuwssfgb,POINT (56.4563431478465 87.8443585238314),POINT (46.2855194983357 64.9554361327184),2023-01-19-17:50:05,qmaktaulhtynruuiefig
mrbrbnukjjatdikwixoo,POINT (24.0963016984599 28.0399082867218),POINT (8.96900693959 79.7674181091279),2023-01-19-17:50:05,dmmsisuxjfuzhakakqea
rxcgktuptwkugrzualao,POINT (55.0972902707629 43.1669530533563),POINT (95.6513511771081 62.5255934464919),2023-01-19-17:50:05,bhukvcaurbocwtrxbpnj
whywguzxnejxvmoxijzv,POINT (32.9285175644562 43.816099218142),POINT (31.3597532177223 44.9901254246084),2023-01-19-17:50:05,ayhbrlbyxperfxwtuimg
azxdbvncolqaklfhrkmu,POINT (88.6872964185317 62.2454170214486),POINT (47.9659397518344 27.7917890862441),2023-01-19-17:50:05,fnpvsqxcqwipgjkjcukk
vzxdmnuytsocwbbcgiea,POINT (20.9546495701602 48.8551090084791),POINT (96.6341689121236 35.4549601632844),2023-01-19-17:50:05,ewqvzuumejuziszorkno
lnhbzhixtuzfhwxnyulw,POINT (45.8064610659933 79.7211642056813),POINT (82.69933203754 93.9909513819622),2023-01-19-17:50:05,eppbqupdcnymctspsmbh
xrmawwrxnsynlrqezxio,POINT (93.8172391754307 37.096046506822),POINT (44.4705391972448 3.4862504105482),2023-01-19-17:50:05,epdyygnkisbwmmvcfghf
modstskpffnehtncfogd,POINT (38.6554229644554 43.7341290121051),POINT (85.1255426932656 61.1655927372718),2023-01-19-17:50:05,bmkrfixbcwvemiiepkhw
yjatorgzsogxntlzufnm,POINT (26.1394620669568 33.0584267571855),POINT (43.9256765105945 65.4319780093721),2023-01-19-17:50:05,rurwhgkqtvoeamutnsbd
iegtjncdsfeyoluwhmhn,POINT (3.4761988586327 55.4203574695939),POINT (52.8612184065856 20.5671208620317),2023-01-19-17:50:05,aklyjlneiwqostesgjkv
bidfxyhzlunnnhyyctdp,POINT (23.7539005298846 97.1212991939519),POINT (5.3309799089622 87.7246222930176),2023-01-19-17:50:05,fupnjnyaandjachyzvzb
hojlitalpiivvimkcubb,POINT (2.5837599028513 55.5645194374108),POINT (94.8345830781727 74.6336631445412),2023-01-19-17:50:05,bajlcdahbhqdlgpdeygc
caxutlsukvrdlhcomemi,POINT (79.9811529898528 97.8224660171568),POINT (9.5605368437309 22.4445171114845),2023-01-19-17:50:05,uleptbiammdoovezlovk
jhbfpnqybtjkozfkypqx,POINT (16.9333987265599 66.0979463039062),POINT (67.0159049041908 2.8413910518208),2023-01-19-17:50:05,dydgdfpdfjemlidtxreg
snaffgbdovcckwwtcqgd,POINT (51.6801148528784 89.4575008369241),POINT (42.9408835053527 86.2216233174445),2023-01-19-17:50:05,tukjnstpqcfjbdpojrsp
krhyyymwpzojhqdzcqdn,POINT (27.6791482222177 63.5553507104335),POINT (43.5807597143678 58.3740832102499),2023-01-19-17:50:05,vecbxyzsexvrkfvgmtoc
axqotkzcfpfuhhyphxgi,POINT (83.1255537301815 52.1466257238837),POINT (17.1934500710682 39.1554678933423),2023-01-19-17:50:05,twkuttozbzjbplrdhfjy
wncgtilvvbuseeprrovq,POINT (37.0434283814757 17.3568244842951),POINT (59.9146060554928 88.2000376205686),2023-01-19-17:50:05,nhuvtieyzaivxpvtilyr
gxsbdnabzyamvdrswblt,POINT (92.0415294046937 31.6450600916553),POINT (18.203746025118 22.2159254936574),2023-01-19-17:50:05,lsysydhiijbqekuhutsg
jzrsmlfwpjoztdkdlwbv,POINT (65.1743256870204 51.5916740055451),POINT (34.6997683065156 41.8924253964406),2023-01-19-17:50:05,vcmgplecsjyklbkjndiw
nbqyazuncvczvhbgoxgf,POINT (79.8760306144671 23.7828442850338),POINT (11.8848719957564 68.5034747188249),2023-01-19-17:50:05,fdhotlzgjgbsyyjdvjoi
poloshqgxbwjxuuyykuj,POINT (92.6083254935708 24.9571258813488),POINT (1.0331883770245 6.0051815373945),2023-01-19-17:50:05,zhyninsltkpohkkuseha
cmgpnpvfmitxbztvtwjy,POINT (3.3925228049807 12.3259478200994),POINT (73.3418117194128 35.4651448650213),2023-01-19-17:50:05,yigrundclbsvvtstchkb
pbunqakzcwouurdewvij,POINT (79.2998831047774 56.049098446025),POINT (69.5296107916049 30.2541036464926),2023-01-19-17:50:05,mvmbsrvxybdeikjgyzjz
duaczkmzbdkjrfqjzqoy,POINT (23.2971225385168 19.374806807909),POINT (6.1109986065518 70.351447792634),2023-01-19-17:50:05,iibymwgbzhdicktlakzk
yusanehapullcsrapjpf,POINT (18.922864849052 70.42202516827),POINT (63.6531972714676 2.2806219658033),2023-01-19-17:50:05,kotuagvogkjolznebwdt
tbxmhkbznvjblwfqunzw,POINT (72.3578008315214 46.5073472464707),POINT (27.4433064732751 14.9872425845541),2023-01-19-17:50:05,sovlkgaqiibabaaxumfe
bffecoqaikzxjpejdtiq,POINT (67.3888837874708 1.8663197744564),POINT (69.0697108156921 39.0997235987806),2023-01-19-17:50:05,zuqhgeboxoanmvinhjae
qooxfbfkmicseceuawre,POINT (12.2180064326547 95.3176749877252),POINT (11.3980672758219 51.6449348937222),2023-01-19-17:50:05,atigmcqjpbszruzqrbtx
stjwwvylncjnnhrzwuav,POINT (81.1649459101697 21.2583700458528),POINT (79.5937669031875 38.5405493376748),2023-01-19-17:50:05,hdkwrdevbbwmrdbycmyj
wkcefnpvjhncfqqlvofg,POINT (93.0872624105207 95.6160681395438),POINT (87.5691265247519 13.6174160059926),2023-01-19-17:50:05,fwqzigxhovpibczdgxpo
vzbohajqhyewxevojkpu,POINT (20.5247893910958 7.5338255051965),POINT (76.4548601401971 24.1702419387775),2023-01-19-17:50:05,srgxotxswzmdweschflb
tgwcavlwquydepybsefj,POINT (48.2931923610751 83.9073961747008),POINT (40.4140668571419 21.1332792581005),2023-01-19-17:50:05,quzviauerpddllnmorvg
darfjjgngedhbsohcpzh,POINT (10.2410404908459 83.9746097705229),POINT (24.8542128643482 12.0491313253396),2023-01-19-17:50:05,qvtfaemfecumtmgwmgll
xwrtwpmebdfjvgynwtul,POINT (68.8272979282144 31.7407394960393),POINT (55.6915048625723 68.9282713022999),2023-01-19-17:50:05,lxzunlewzvosynnmvmde
qoymhswpxkjbugdrnxoc,POINT (33.4141363551371 7.9506894604233),POINT (60.5275720970881 46.4403781147478),2023-01-19-17:50:05,lnrcumuszaeqwhshftkx
erzpbjhdwzchontmwuel,POINT (79.7830046086265 31.3282030970471),POINT (12.6644751533639 67.1905478630434),2023-01-19-17:50:05,wrqkhmlyohrrpqqgkles
bnkejsuvdefxthzmduda,POINT (63.7924655002452 34.1856574708704),POINT (8.3906459738739 65.6594008145056),2023-01-19-17:50:05,qvfvncxxmxqgrsdjgmnl
jyteleotfowincmtolgo,POINT (12.9038930726832 98.277921439157),POINT (88.2876569297204 87.6441441962617),2023-01-19-17:50:05,sgthxzfbppyqxiqyekmy
vbfnygfiyyhkbxbdmgyj,POINT (93.4525907376272 60.8607267379114),POINT (89.7042403281015 42.9921707898714),2023-01-19-17:50:05,aysufhyamjfznpkzhmlr
fcmrjruilmzclblnmgvm,POINT (26.7876288099973 93.5316653521154),POINT (58.6975450367245 68.4898928682326),2023-01-19-17:50:05,fzawizenlfbymhysyxuk
ckhqvajwnitoyjvkoqvl,POINT (77.7831992820175 44.1229677673567),POINT (22.6008742283115 7.5998819338236),2023-01-19-17:50:05,xedommydoucbljwifyam
paharlejtbyqkwlhnhit,POINT (17.365927344904 39.6983213907722),POINT (52.5874304804595 60.7814397497479),2023-01-19-17:50:05,oqmsvagsogoqgbemvphr
xswmexzxkttqpxninruo,POINT (13.5165287736559 32.0524793626429),POINT (22.6100993176061 20.867578246563),2023-01-19-17:50:05,dnxgxaufpfinkeprgdgk
xigybsftkdlepiexrvam,POINT (24.3075725126252 34.7999717515651),POINT (60.9960966725669 14.7954338575486),2023-01-19-17:50:05,gkecdeiwzsjpyhjrjpmw
luspzihfuvjnwqsjbxqj,POINT (3.3155094564784 85.1295539254012),POINT (37.6825159400796 61.6927033690836),2023-01-19-17:50:05,bolgptmpbmtdsajapjfg
gklqdcubyvqkzwphbewy,POINT (45.8841065218529 34.5693024075825),POINT (20.1018366486412 45.7452691318557),2023-01-19-17:50:05,ltdcyjkkawsxciijiciu
bhnigbwukwvzhbsfoklf,POINT (59.7683492950954 79.4815553032332),POINT (86.169752876164 87.0104591743516),2023-01-19-17:50:05,xufkkgkgvokpxcsdexur
guokprlfsvrfmunstfbn,POINT (7.1136970396548 23.23014372778),POINT (3.8383496164728 12.2221763839152),2023-01-19-17:50:05,cywpbkeioowjncvwubbm
ggcilhbazukjmckofwrp,POINT (38.9815326773386 20.0259512686979),POINT (2.6453797309401 85.574992494034),2023-01-19-17:50:05,ucliojllzrqqpfydgwyf
wgdsipzlwanhjdtvgotn,POINT (76.1931306940818 96.9522099737328),POINT (88.6236226469809 52.3677841193343),2023-01-19-17:50:05,uvpeopdztphjhzzdzwdk
aivlxjjobxykzujmlvtl,POINT (66.4615782924794 21.526611952747),POINT (45.3483224510993 80.7944901774701),2023-01-19-17:50:05,cyowcwxthzxxnmxilpmq
ubzitbhfxeqkekajdaag,POINT (6.3405536065698 16.1638063449546),POINT (55.8510173435652 70.4947824052517),2023-01-19-17:50:05,znqdoqvrtfpiwtqwndfx
bjqulscfdennqmajdszl,POINT (23.7530415455682 75.5836172996436),POINT (2.8683596890641 5.2146604173403),2023-01-19-17:50:05,osnmiqguuwkidgbqnsbx
xsrkyggsrbobohodcgiw,POINT (60.1647315154649 57.5724191970031),POINT (73.3498482403811 41.2082039442159),2023-01-19-17:50:05,uclvsjmmsohzfrnfbyni
ymevnvullowlolbwgheo,POINT (80.8725646375423 84.846592747833),POINT (38.8598681531878 11.6574681306875),2023-01-19-17:50:05,qvzbewfpugcfynkcrnap
yrzvjtnpqvzriggjwngx,POINT (22.0618769443783 86.33577225063),POINT (34.2224391046547 32.9703314825022),2023-01-19-17:50:05,coucdmpjsmteewcczprn
wzslquzgsslqrcyoqsli,POINT (43.6552468654393 50.7617484209256),POINT (11.7049903964462 29.2257641731684),2023-01-19-17:50:05,iudajfxppwvzjdrgtqsj
bkqwmhgznuxwxsxftiac,POINT (71.4020591184213 57.5445687625063),POINT (6.7137071203286 85.8568353319735),2023-01-19-17:50:05,cbapwdjjigeudmlqnmcw
eipwfcttwwceqsgspibg,POINT (54.788149521217 71.4311383055061),POINT (40.4744379569479 97.2223778963576),2023-01-19-17:50:05,prequbcfjvkehqkjpcuv
zompeenquegefrwblxtw,POINT (14.2561163869013 35.9074595926421),POINT (20.2896427085225 57.5400977470739),2023-01-19-17:50:05,eqplhlqidrycoosopdxh
yptuhleojgaobpjdyzka,POINT (92.3824048154128 7.4939762554672),POINT (21.7764452800105 38.3541370815502),2023-01-19-17:50:05,qmlodrfevzxtrrgkccws
wcgoqpvsuubcardxdzqx,POINT (9.362802668772 92.1428733075127),POINT (35.9100102424483 46.8100884975714),2023-01-19-17:50:05,avshyizfudkzlcgyheca
lmjshcugkmpcykmtsubf,POINT (63.3695648653807 98.8248918237314),POINT (40.6037297081962 83.7601925400646),2023-01-19-17:50:05,qmggexgtkaqyivzrgzvj
cmpbdpgszjlaodqlnbnn,POINT (23.0792116439219 64.89079044217),POINT (74.8902133589328 53.8905374237643),2023-01-19-17:50:05,vyhcelnqiepygyvfkszr
mlzsnroumqkckgtgeraa,POINT (45.0692151199744 82.9095477962802),POINT (97.4188066463871 56.8383249409846),2023-01-19-17:50:05,blhzrtnwxrazwgvetxpk
ocrxksdzegriwbrtvecs,POINT (89.9577378375941 74.3621376182596),POINT (69.4376955750028 46.6666515597513),2023-01-19-17:50:05,eufdfwcmpxgcazpjyqgp
rqeefpjdkuztrggdfzzg,POINT (6.1643416996108 32.8987122716226),POINT (72.0384514400107 20.7876726530309),2023-01-19-17:50:05,qkfhqfjffjtllklhirld
pympqvfbwilwgfzadizb,POINT (27.4989797932838 9.8396832688531),POINT (15.9885480151606 95.5055870716232),2023-01-19-17:50:05,fiqyzvnchftdcpuhxzlh
ryzpayseklfjbckpayvm,POINT (41.1331881402853 1.6544862163909),POINT (33.8323696171967 49.5069676775846),2023-01-19-17:50:05,txqorfhycrpblqltfkzf
afpkfbuvtldbcnwxdluf,POINT (7.3526483234436 15.8978565958047),POINT (44.3184076984854 35.1954841618574),2023-01-19-17:50:05,mhhzddzsshaarfgzydua
hjmeplxzrpdrmmpnukbb,POINT (65.7206280846937 75.3295371367424),POINT (40.9175256225157 40.664450603338),2023-01-19-17:50:05,wuujbjezmyopbbpvupji
gflozlwepdihfoaagxck,POINT (20.4508071559617 23.0293198416403),POINT (9.9728948997633 84.7763218985638),2023-01-19-17:50:05,dqywrbtxzuedvqgnvxkr
pxsqnavapyokgigkwmxa,POINT (83.9350322613443 18.202500905636),POINT (11.4526937052567 89.4890560424933),2023-01-19-17:50:05,xrynjvkyvkqyyogzlvpt
puegvzqknjmcwdeamvxa,POINT (50.596346742407 44.8233295545751),POINT (22.2580621407254 21.2390877770143),2023-01-19-17:50:05,ijfhacpzszcjhupyrzwi
gkmhavvqezemjvlqtdhb,POINT (95.2954379353967 50.0122808373006),POINT (30.8929356193172 87.6382152334139),2023-01-19-17:50:05,ugnfcphjnxredfltqmnz
xsxwxqavhjegurbezzyc,POINT (98.8210953726558 33.5914528222918),POINT (29.2574167447987 87.5215315605872),2023-01-19-17:50:05,eplafkcbrpsgffbxjtuj
kbspzgoxhqlpypxrmzby,POINT (84.5453471820607 48.5281489383915),POINT (63.5472003746835 30.5545075178117),2023-01-19-17:50:05,lhhlldvnuexqtgabiiul
qnlgntsvekuhebijtncr,POINT (1.8742170024855 24.2880714903656),POINT (79.1958744476238 55.9385964457892),2023-01-19-17:50:05,xyqiedqhofbbezivwith
velwnofrkoahdkqybaxb,POINT (5.3636453925232 67.3839298272416),POINT (49.6582611901338 97.1764390735097),2023-01-19-17:50:05,kgrmbdjxotrenucxhuqt
vatntoslmiyzzmwardwk,POINT (60.2134298801182 52.1265371958751),POINT (12.0503201392262 7.1562761080593),2023-01-19-17:50:05,xikocypecohtpwbqsxok
bkbgbmvkokwndudgqxsp,POINT (66.8543049443808 84.6895272238587),POINT (35.92771630302 40.0144847250677),2023-01-19-17:50:05,zlmqeshzjujxzomhqytg
nvoqsbvyslccgrykexpr,POINT (94.0868928962782 78.1008585065824),POINT (37.2289205113799 30.4109794566165),2023-01-19-17:50:05,hohamkcwhkdxxvpagbgk
lznayheuaeplvjngmybf,POINT (11.6145035570676 10.9287087828397),POINT (17.0879427063291 25.7048644758341),2023-01-19-17:50:05,zbdwhaoxrlgnlflveymj
yavvkmhkvkxpcycrjmav,POINT (98.7606732825005 88.0537957221247),POINT (43.6980358962331 16.2583449743634),2023-01-19-17:50:05,lzqldlzxqkgqmhudlbkj
kkpswbcxzytfpficrujh,POINT (8.8593108310833 65.7962375796573),POINT (94.6094151687919 17.6880673560543),2023-01-19-17:50:05,bwudwdahhdxnvfulxntn
rvkmkhgyazqwpcfiuxgm,POINT (67.0304518357267 40.3066112230464),POINT (88.7394941172871 54.5938696021605),2023-01-19-17:50:05,kqezmhsuylpmbwgyvhoc
ovryjeakvakagpxpjoab,POINT (58.7290567108199 12.8456247102239),POINT (82.4587185966184 76.3797512978946),2023-01-19-17:50:05,mrpfmclhkescxivgfeyb
zpzchniwnygjprptccel,POINT (34.4257287386568 66.167236424206),POINT (17.7281383911329 91.4413656707781),2023-01-19-17:50:05,fwahexysjhcpowxpyqpq
vdpghzrmqfxgkxjgcssd,POINT (81.4648879018186 13.2163307201097),POINT (9.894395024525 86.4129265671806),2023-01-19-17:50:05,jwnpvlxdrbvtkdpmhtgi
lbtnupftequlimmimbon,POINT (14.6894160325152 89.3837492052609),POINT (11.3099047366922 55.9989769621725),2023-01-19-17:50:05,uscyetjkjyxcrlmdxgxy
angpjbaaltaozoqwwvri,POINT (40.8897533690181 84.6654271825566),POINT (79.2521594841075 53.4169076348504),2023-01-19-17:50:05,iwnopptdvpqfobkgnjum
cgcddvwgvouelyjevhwm,POINT (64.3248286125601 65.986398599993),POINT (6.2429395975776 54.772781211217),2023-01-19-17:50:05,pdobtrdlecezftfycakj
ybsnmceagxodpljamrtl,POINT (23.3278324644567 46.3533080807265),POINT (66.9666313561243 5.4446450224843),2023-01-19-17:50:05,krdbktpetxjsqaiczyyw
cbpbsxmtplhmknejrvgm,POINT (72.3366183048292 76.9831267505844),POINT (61.6618317604604 49.2465224967365),2023-01-19-17:50:05,sauomytijymwebyedwid
wzzpruiuyyeiewogtunk,POINT (30.3615096164865 20.2439896278776),POINT (22.235719825023 64.015780660889),2023-01-19-17:50:05,vjuixxyxdkpiafwzofen
mxiajyxmvblcvowjczsm,POINT (66.955589911019 26.2416778189862),POINT (85.0045095621801 17.016708836027),2023-01-19-17:50:05,zhihdfwjdpvbygznekbt
